,0,1,2,3,4,5,6,7,8,haiku,lang
6288,vacant lot overgrown,with queen anne’s lace,and car parts,,,,,,,"vacant lot overgrown
with queen anne’s lace
and car parts",en
6289,garden stones,pearled by wind and rain,indian summer,,,,,,,"garden stones
pearled by wind and rain
indian summer",en
6290,mountain thunder,the birds change,their tune,,,,,,,"mountain thunder
the birds change
their tune",en
6291,Orion rises,dragging Autumn behind him,Late August morning,,,,,,,"Orion rises
dragging Autumn behind him
Late August morning",en
6292,roman road,I carry the dust,further north,,,,,,,"roman road
I carry the dust
further north",en
6293,to paint a graveyard,grey again,autumn rain,,,,,,,"to paint a graveyard
grey again
autumn rain",en
6294,piece,of a butterfly wing –,autumn chill,,,,,,,"piece
of a butterfly wing –
autumn chill",en
6295,a crow,on the wire,silent rain,,,,,,,"a crow
on the wire
silent rain",en
6296,cooking together--,a touch of cinnamon,on my lips,,,,,,,"cooking together--
a touch of cinnamon
on my lips",en
6297,foggy morning . . .,blazing with bittersweet,the cemetery wall,,,,,,,"foggy morning . . .
blazing with bittersweet
the cemetery wall",en
6298,leaden clouds . . .,the way the bare trees,support them,,,,,,,"leaden clouds . . .
the way the bare trees
support them",en
6299,end of summer,strands of an abandoned kite,flutter in the wind,,,,,,,"end of summer
strands of an abandoned kite
flutter in the wind",en
6300,lire,jusqu'à ne plus rien voir -,derniers soirs de l'été,,,,,,,"lire
jusqu'à ne plus rien voir -
derniers soirs de l'été",fr
6301,lengthening days,even the morning glory,a shade bluer,,,,,,,"lengthening days
even the morning glory
a shade bluer",en
6302,i the doctor's surgery,a paulm tree,...deein,,,,,,,"i the doctor's surgery
a paulm tree
...deein",en
6303,sweet peas,sclimin,the jyle palin,,,,,,,"sweet peas
sclimin
the jyle palin",en
6304,summer haze --,someone murmurs,"""Alzheimer's""",,,,,,,"summer haze --
someone murmurs
""Alzheimer's""",en
6305,harvest moon --,her updated,relationship status,,,,,,,"harvest moon --
her updated
relationship status",en
6306,a latch clicks,on the vacant house ...,winter solstice,,,,,,,"a latch clicks
on the vacant house ...
winter solstice",en
6307,first day of spring,the lingering scent,of rare books,,,,,,,"first day of spring
the lingering scent
of rare books",en
6308,edge of the woods,some things I may not want,to know,,,,,,,"edge of the woods
some things I may not want
to know",en
6309,end of summer,we no longer know,what sleeps in the barn,,,,,,,"end of summer
we no longer know
what sleeps in the barn",en
6310,valley wedding,the scent of gun smoke,coming uphill,,,,,,,"valley wedding
the scent of gun smoke
coming uphill",en
6311,nobody's tree,on the highest branch,the perfect apples,,,,,,,"nobody's tree
on the highest branch
the perfect apples",en
6312,moon silence,the sound of a mouse,comes between us,,,,,,,"moon silence
the sound of a mouse
comes between us",en
6313,lunar eclipse,a nipple peeks,over her dress,,,,,,,"lunar eclipse
a nipple peeks
over her dress",no
6314,Standing silently ,In autumn rain,The old cypress,,,,,,,"Standing silently 
In autumn rain
The old cypress",en
6315,fifty years,of letters & journals—,flash flood,,,,,,,"fifty years
of letters & journals—
flash flood",en
6316,summer night,somewhere a saxophone,on born to run,,,,,,,"summer night
somewhere a saxophone
on born to run",en
6317,wildflower bouquet—,taking the ladybug,back outside,,,,,,,"wildflower bouquet—
taking the ladybug
back outside",en
6318,sultry day -,the tumult of rain,on my umbrella,,,,,,,"sultry day -
the tumult of rain
on my umbrella",en
6319,a hole in the meadow -,lowering,the farmer's body,,,,,,,"a hole in the meadow -
lowering
the farmer's body",en
6320,Roman d'été -,La dernière page du livre,Lue plus lentement,,,,,,,"Roman d'été -
La dernière page du livre
Lue plus lentement",fr
6321,quelle chaleur !,des cheveux d'une passante,l'odeur de chlore,,,,,,,"quelle chaleur !
des cheveux d'une passante
l'odeur de chlore",fr
6322,pluie d'orage,le galop de l'essoreuse,remplit la maison,,,,,,,"pluie d'orage
le galop de l'essoreuse
remplit la maison",fr
6323,nuit chaude et sans vent -,le ventilateur brasse,un standard de jazz,,,,,,,"nuit chaude et sans vent -
le ventilateur brasse
un standard de jazz",fr
6324,musique de nuit -,dans la fente du juke box,une demi-lune,,,,,,,"musique de nuit -
dans la fente du juke box
une demi-lune",fr
6325,park bench,she puts acorns,in his ears,,,,,,,"park bench
she puts acorns
in his ears",en
6326,supermarket,on a Sunday morning,Stairway to Heaven,,,,,,,"supermarket
on a Sunday morning
Stairway to Heaven",en
6327,roadside,a strip of painkillers,empty,,,,,,,"roadside
a strip of painkillers
empty",en
6328,before the bridal party,unfashionably early,rain arrives,,,,,,,"before the bridal party
unfashionably early
rain arrives",en
6329,a crack,in the pavement,yellow freesias,,,,,,,"a crack
in the pavement
yellow freesias",en
6330,avec Po Chu Yi,dans le tramway bondé -,rêve d'ermitage,,,,,,,"avec Po Chu Yi
dans le tramway bondé -
rêve d'ermitage",fr
6331,entaille aux entrailles-,la marque de cet oiseau,sur chaque cerise,,,,,,,"entaille aux entrailles-
la marque de cet oiseau
sur chaque cerise",fr
6332,fin de l’été,le trou de la poche du short,encore plus grand,,,,,,,"fin de l’été
le trou de la poche du short
encore plus grand",fr
6333,sun rising,suddenly the sumac,bursts into flame,,,,,,,"sun rising
suddenly the sumac
bursts into flame",en
6334,climbing the walls,of the disused youth club:,flowering hops,,,,,,,"climbing the walls
of the disused youth club:
flowering hops",en
6335,summer storm,the windscreen wipers,slice our silence,,,,,,,"summer storm
the windscreen wipers
slice our silence",en
6336,fireworks show,the migrant speaks of the home,he left behind,,,,,,,"fireworks show
the migrant speaks of the home
he left behind",en
6337,whale sighting--,all the smart phones,lined up on the deck,,,,,,,"whale sighting--
all the smart phones
lined up on the deck",en
6338,late summer -,copper wishes collect,in the bottom of the well,,,,,,,"late summer -
copper wishes collect
in the bottom of the well",en
6339,Indian summer,the sweeping can wait,for another day,,,,,,,"Indian summer
the sweeping can wait
for another day",en
6340,"off the trail,","on the trail,",grasshopper...,,,,,,,"off the trail,
on the trail,
grasshopper...",en
6341,farm auction-,fields filled with goldenrods,and asters,,,,,,,"farm auction-
fields filled with goldenrods
and asters",en
6342,"Nuit noire,",les asters mauves,pour voie lactée,,,,,,,"Nuit noire,
les asters mauves
pour voie lactée",fr
6343,retour à l’usine,il se gare sur le parking,à reculons,,,,,,,"retour à l’usine
il se gare sur le parking
à reculons",fr
6344,nuit d'équinoxe -,la couverture un peu plus haut,sur ses jambes,,,,,,,"nuit d'équinoxe -
la couverture un peu plus haut
sur ses jambes",fr
6345,trop tard,j'ai vu les yeux du veau,dans le camion,,,,,,,"trop tard
j'ai vu les yeux du veau
dans le camion",fr
6346,soir de noces –,le vent d’automne se déchaîne,sur un vieux rock n’roll,,,,,,,"soir de noces –
le vent d’automne se déchaîne
sur un vieux rock n’roll",fr
6347,troubled sleep --,sparks,from a high-tension wire,,,,,,,"troubled sleep --
sparks
from a high-tension wire",en
6348,Quelle rapidité,Sous la montre arrêtée de ma mère,Des battements de mon cœur,,,,,,,"Quelle rapidité
Sous la montre arrêtée de ma mère
Des battements de mon cœur",fr
6349,early autumn,a round orange leaf,curled on the pavement,,,,,,,"early autumn
a round orange leaf
curled on the pavement",en
6350,la rue se calme - ,se lève des arbres ,le bruit du vent,,,,,,,"la rue se calme - 
se lève des arbres 
le bruit du vent",fr
6351,sunday morning,the jasmine climbs,a cloud higher,,,,,,,"sunday morning
the jasmine climbs
a cloud higher",en
6352,chercher la mélodie,dans le grelet des grillons -,nuit blanche,,,,,,,"chercher la mélodie
dans le grelet des grillons -
nuit blanche",fr
6353,night bus stop,the plop of a Styrofoam cup,and swirl of coffee,,,,,,,"night bus stop
the plop of a Styrofoam cup
and swirl of coffee",en
6354,a love letter,in mother's handwriting... ,asters gone to seed,,,,,,,"a love letter
in mother's handwriting... 
asters gone to seed",en
6355,Patient old donkey,waiting for her morning hay,Gray August sunrise,,,,,,,"Patient old donkey
waiting for her morning hay
Gray August sunrise",en
6356,tempête d'automne,dans la salle informatique,les serveurs ronronnent,,,,,,,"tempête d'automne
dans la salle informatique
les serveurs ronronnent",fr
6357,"Pont de Fragnée, huit heures",par delà les voitures,un cormoran,,,,,,,"Pont de Fragnée, huit heures
par delà les voitures
un cormoran",fr
6358,this spring's fragrance,were it a woman I'd,follow wherever,,,,,,,"this spring's fragrance
were it a woman I'd
follow wherever",en
6359,his eyes,watching their eyes,watching her,,,,,,,"his eyes
watching their eyes
watching her",en
6360,drizzle this morning,islands drowned in the mist,red lights of the bridge,,,,,,,"drizzle this morning
islands drowned in the mist
red lights of the bridge",en
6361,somewhere,in the autumn haze,cranes calling,,,,,,,"somewhere
in the autumn haze
cranes calling",en
6362,élaguage --,le pigeon a tourné trois fois,cherchant sa branche,,,,,,,"élaguage --
le pigeon a tourné trois fois
cherchant sa branche",fr
6363,embouteillage,très haut dans le ciel,un héron passe,,,,,,,"embouteillage
très haut dans le ciel
un héron passe",fr
6364,la file au feu rouge:,un vol de cormorans passe,-- vers le sud,,,,,,,"la file au feu rouge:
un vol de cormorans passe
-- vers le sud",fr
6365,tempête --,la chute de l'arbre a fait,le ciel plus grand,,,,,,,"tempête --
la chute de l'arbre a fait
le ciel plus grand",fr
6366,feu rouge,elle et lui se regardent ,dans le rétroviseur,,,,,,,"feu rouge
elle et lui se regardent 
dans le rétroviseur",fr
6367,allée forestière ...,d'abord le jogueur,puis son odeur,,,,,,,"allée forestière ...
d'abord le jogueur
puis son odeur",fr
6368,fil barbelé,entre le veau et moi,regards,,,,,,,"fil barbelé
entre le veau et moi
regards",fr
6369,elle se lève --,il reste un peu de chaleur,sous la couverture,,,,,,,"elle se lève --
il reste un peu de chaleur
sous la couverture",fr
6370,inondation --,le ciel au milieu,du pré,,,,,,,"inondation --
le ciel au milieu
du pré",fr
6371,concert public,sur la place remplie de monde,le feu rouge inutile,,,,,,,"concert public
sur la place remplie de monde
le feu rouge inutile",fr
6372,la pelle mécanique,dans le pré,efface le ciel,,,,,,,"la pelle mécanique
dans le pré
efface le ciel",fr
6373,refermer le lit,pour garder ta chaleur ...,matin de brume,,,,,,,"refermer le lit
pour garder ta chaleur ...
matin de brume",fr
6374,traffic jam -,a crow flutters in the place,over the bridge,,,,,,,"traffic jam -
a crow flutters in the place
over the bridge",en
6375,city peak hour -,happily lost,in sunset sky art,,,,,,,"city peak hour -
happily lost
in sunset sky art",en
6376,près de la digue,un tronc en mouvement,un castor nage,,,,,,,"près de la digue
un tronc en mouvement
un castor nage",fr
6377,in the far shadows,something swimming,-- or a log,,,,,,,"in the far shadows
something swimming
-- or a log",en
6378,An orange and pink sky -,from the pulpmill a grey cloud,on the cool Spring day,,,,,,,"An orange and pink sky -
from the pulpmill a grey cloud
on the cool Spring day",en
6379,une usine,au bord du fleuve,fabrique des nuages,,,,,,,"une usine
au bord du fleuve
fabrique des nuages",fr
6380,matin gris,les nuages blancs,de l'usine à papier,,,,,,,"matin gris
les nuages blancs
de l'usine à papier",fr
6381,Grey and blue Spring morning,the lumber mill making clouds,my first cup of Melitta,,,,,,,"Grey and blue Spring morning
the lumber mill making clouds
my first cup of Melitta",en
6382,arrêt d’autobus,chemins de sable à droite,s’enliser vers où ?,,,,,,,"arrêt d’autobus
chemins de sable à droite
s’enliser vers où ?",fr
6383,réserve innu,des traces dans le sable,vers nulle part,,,,,,,"réserve innu
des traces dans le sable
vers nulle part",fr
6384,waiting for,the loon to surface,I hold my breath,,,,,,,"waiting for
the loon to surface
I hold my breath",en
6385,Pont Jacques-Cartier,Au matin une brume dense,Les autos disparaissent,,,,,,,"Pont Jacques-Cartier
Au matin une brume dense
Les autos disparaissent",fr
6386,Foggy day --,On the Verrazano,the car vanishes,,,,,,,"Foggy day --
On the Verrazano
the car vanishes",en
6387,Route des Baleines,dans l’eau le dos rond,d’un rocher,,,,,,,"Route des Baleines
dans l’eau le dos rond
d’un rocher",fr
6388,Route des Baleines,ce rocher noir à bosse,au ras de l'eau,,,,,,,"Route des Baleines
ce rocher noir à bosse
au ras de l'eau",fr
6389,les bourses s'effondrent -,premières feuilles mortes,dans la rue,,,,,,,"les bourses s'effondrent -
premières feuilles mortes
dans la rue",fr
6390,chute des cours,les premières feuilles jaunies ,de l'arbre,,,,,,,"chute des cours
les premières feuilles jaunies 
de l'arbre",fr
6391,vendredi noir -,la lente dégringolade,d'une feuille morte,,,,,,,"vendredi noir -
la lente dégringolade
d'une feuille morte",fr
6392,vent d'automne,les banques tombent une à une,les feuilles rougissent,,,,,,,"vent d'automne
les banques tombent une à une
les feuilles rougissent",fr
6393,mi-nuit,le bruit d'un volet qu'on déroule,quelque part,,,,,,,"mi-nuit
le bruit d'un volet qu'on déroule
quelque part",fr
6394,tempête d'automne --,le papillon de nuit,collé à la vitre,,,,,,,"tempête d'automne --
le papillon de nuit
collé à la vitre",fr
6395,traffic lights -,just enough time,to scribble a poem,,,,,,,"traffic lights -
just enough time
to scribble a poem",en
6396,regards ...,par dessus la rivière,le héron et moi,,,,,,,"regards ...
par dessus la rivière
le héron et moi",fr
