0,1,2,source,0_syllables,1_syllables,2_syllables
chill evening,all the nuts,are almonds,sballas,3,3,3
taking a bite,from the wild apple,"old, old memories",sballas,4,5,5
new year's eve,rain becomes hail,becomes silence,sballas,3,4,4
new year's day,we both feel the kick,inside her,sballas,3,5,3
autumn downpour,a tow truck pulling,another,sballas,4,5,3
grandpa's dead . . .?,the call of wild geese,faintly heard,sballas,3,5,3
unpacking a new home,do whales strand themselves,in this bay?,sballas,6,5,3
winter stillness,the bed starts,purring,sballas,4,3,2
winter morning,the outline of the city,on venetian blinds,sballas,4,7,5
sun on my back,all the flower pots,arranged just so,sballas,4,5,4
there they are,in the bonsai exhibit,pot of weeds,sballas,3,7,3
autumn sunrise,a muskrat grooms the dew,into its coat,sballas,4,6,4
trail of leaves,the child's plastic rake,missing teeth,sballas,3,5,3
indian summer,small boys run naked,on the tide line,sballas,5,5,4
petting farm,first the children,chase the geese,sballas,3,4,3
her birthday,i count the rosebuds,left on the bush,sballas,3,5,4
red maple leaves,scattered on moss,the sound of falling water,sballas,4,4,7
breezy afternoon,children chasing children,chasing leaves,sballas,5,6,3
wind in the reeds,my daughter speaks,about forgiveness,sballas,4,4,5
late summer,blue jays not answering,a crow,sballas,3,6,2
hay baler,"in its wake, a swathe",of cricket song,sballas,3,5,4
crickets droning,the tennis ball covered,with slobber,sballas,4,6,3
distant stadium cheers:,a black branch releases,a drop of dew,sballas,6,6,4
morning sun,field too small,for the horse's shadow,sballas,3,3,6
dusk,father and son,scything the meadow,sballas,1,4,5
cool dusk,our hands busy husking,fresh corn,sballas,2,"6,7",2
warm night,a soda machine rejects,my coin,sballas,2,7,2
bedtime,fruit flies linger,after the fruit,sballas,2,4,4
end of summer,only a breeze,in the butterfly net,sballas,4,4,6
3rd day of guests,the soup pot,blows its lid,sballas,4,3,3
sand dollar,the morning's first set,of footprints,sballas,3,5,3
camera shoot,seafroth clings,to her cleavage,sballas,"3,4",3,4
boarding the greyhound,one seat left,on the ocean side,sballas,5,3,5
sudden downpour,the lizard takes its shadow,into a wall hole,sballas,4,7,5
thunderstorm,white pigeons stroll,the man-of-war's deck,sballas,3,4,3
beach shack,a garden,of shells,sballas,2,3,2
windswept dunes,the road map flaps,on the scorching hood,sballas,3,4,5
rearview mirror,dark clouds gathering,into a twister,sballas,4,5,5
stalactites,the howls of children,echoing back,sballas,3,5,4
alone now,the drake's wash,at both banks,sballas,3,3,3
tall pines,i?ll never be ready,to go home,sballas,2,6,3
sweet peas,pulling the color,from the sky,sballas,2,5,3
crowds,at the meat market,incense mingles,sballas,1,5,4
intermission,sharing an awning,with the rain,sballas,4,5,3
bush trail,the astonishing colour,of jellybeans,sballas,2,7,4
drifting seed fluff . . .,the rented horse,knows an hour's worth,sballas,4,4,5
venetian vase,the glass blower pauses,to admire a cloud,sballas,4,6,5
chinese opera,her voice inside,my teacup,sballas,4,4,3
deep thunder,a blue tail skink,slips under the door,sballas,3,4,5
clear whistle,of the white-throated sparrow,evening star,sballas,3,5,3
half moon,something slips into the pond,besides me,sballas,2,7,3
river rock,the folded wings,of a damselfly,sballas,3,4,5
stone causeway,the creek's summer flow,rearranging pebbles,sballas,3,5,6
silent woods . . .,a growing awareness of,the need to breathe,sballas,3,7,4
mother and daughter,each in her own thoughts,fireflies,sballas,5,5,3
waking,in the fetal position,. . . the river's hum,sballas,2,7,4
waterfall view,soba noodles slipping,from my chopsticks,sballas,4,6,4
noon heat,a swallow just ahead,of its shadow,sballas,2,6,4
wind upriver,undersides of cottonwood leaves,rippling silver,sballas,4,8,"4,5"
shaker village:,the clarity,of birdsong,sballas,4,4,3
drifting clouds . . .,the exam hall,bright sometimes,sballas,3,4,3
small window,and a bird too fast,to name,sballas,3,5,2
rose thorns,the soft whirl,of a spinning wheel,sballas,2,3,5
hot night,riffs,and midriffs,sballas,2,1,3
first light,broken blue shells,under the maple,sballas,2,4,5
spring bird song,a girl comes first,to the peep-hole,sballas,"3,4",4,3
the tinkling,of recycled glass,spring drizzle,sballas,"3,4",5,"3,4"
fourth of july fireworks,girls with long pigtails,jump double-dutch,sballas,6,5,3
record heat,a moth the color of heather,on the heather,sballas,3,8,4
glowing embers,i tell her a story,she already knows,sballas,4,6,5
new year's day,a finch's weight,turns the pinwheel,sballas,3,4,4
nearly spring,the refrigerator magnet,losing its grip,sballas,"3,4",8,4
pausing,halfway through a life,with chrysanthemums,sballas,2,5,5
snow sparkles,in the arroyo,,sballas,3,5,0
the old wind chimes,in the basement for winter,tinkle from my sigh,sballas,4,7,5
tree-filtered moon,the night wind,in a leafpile,sballas,2,3,4
gone then?,cherry petals fall away,in the rain,sballas,2,7,3
her gentle passing . . .,a robin flock settles,on the front porch,sballas,5,6,4
this is how life is,hearing the cricket at dawn,just as it ceases,sballas,5,7,5
if someone should ask,tell them she loved,ginger snaps and tea,sballas,5,4,5
a ripple,reaches the pond's edge,daffodils,sballas,3,5,3
warm hand held tightly,dream of a maple seedling,ready for planting,sballas,5,7,5
her last breath . . .,the strings vibrating,on her dusty harp,sballas,3,5,5
she is gone . . .,the soft call,of a mourning dove,sballas,3,3,5
raining,i discuss tomorrow,with falling petals,sballas,2,6,5
no night clouds,just the numbing news,of her crossing over,sballas,3,5,6
quiet arroyo,the song borne somewhere else,by wind,sballas,5,6,2
moonless,the rain-muffled cries,of returning geese,sballas,2,3,5
i pause,halfway up the stair . . .,because she has paused,sballas,2,5,5
before tonight's frost,bringing in a cricket's song,with the geraniums,sballas,5,7,6
a new day,how to translate,this talk of crows,sballas,3,4,4
field of wild iris,the pinto pony,kicks up his heels,sballas,5,5,4
shimmering beneath the glaze,blue brush strokes,on the chinese ginger jar,sballas,7,3,7
the meadowlark,holding down the fencepost,with song,sballas,4,6,2
too early awake,but this mockingbird,this moon,sballas,5,5,2
glissandos,rippling from the strings,wind from the sea,sballas,3,"5,6",4
deep in this world,of monet water lilies . . .,no sound,sballas,4,7,2
spring morning,the raven goes,where the wind went,sballas,"3,4",4,4
pausing,halfway up the stair,white chrysanthemums,sballas,2,5,5
the cold,a stranger,at my parents? grave,sballas,2,3,5
freezing rain,the yellow umbrella,of a hotdog stand,sballas,3,6,5
a friend's house,shedding loneliness,with my coat,sballas,3,5,3
alone,hugging,warm laundry,sballas,2,2,3
winter afternoon,millions of points,at pinball,sballas,5,4,3
new year's eve,she teaches me,how to breathe,sballas,3,4,3
cold morning rain:,all the swoosh is gone,from the fallen leaves,sballas,4,5,5
what the raven,has to say about them,snow clouds,sballas,4,6,2
frosty morning,an old man boxes,his shadow,sballas,4,5,3
tooth marks,in the sharp cheddar . . .,the long night,sballas,2,5,3
new year's day,the sycamore's,uneven shadow,sballas,3,4,5
winter dawn,waiting for the school bus,kids pretend to smoke,sballas,3,6,5
first snow!,the congregation of birds,suddenly bolder,sballas,2,7,5
taps . . .,a snowflake melts,on her dimple,sballas,1,4,4
late november . . .,i miss another visit,to the nursing home,sballas,4,7,5
slender moon,locking the door,for the last time,sballas,3,4,4
pearl harbor day,the back yard fence steams,in the morning sun,sballas,4,5,5
every one,of her xmas cookies,the same snowflake,sballas,"3,4",5,4
dirt road,ahead and behind,falling leaves,sballas,2,5,3
autumn elms,under her arm,a folded star,sballas,3,4,4
moonlight,reducing the city,to ruins,sballas,2,6,3
christmas eve,on the hairdresser's face,a hint of tears,sballas,3,6,4
bowing,one last time,frozen grass,sballas,2,3,3
sickle moon,an exit ramp bends,through black ice,sballas,3,5,3
all saints? day,beams of a lighthouse,sweep through the rain,sballas,3,5,4
morning dew,i trace my son's,lifeline,sballas,3,4,2
autumn melancholy,she snaps a picture,of the flame-red zinnia,sballas,6,5,6
?tis great to be alive!,how to say this,to the scarecrow?,sballas,5,4,4
harvest moon,the long pull,of faraway children,sballas,3,3,6
st. francis's feast,a fly crawls across,the communion wafers,sballas,5,5,6
concession speech,the dog waits patiently,on the porch,sballas,4,6,3
thanksgiving mass,a shaky hand offers me,the chalice,sballas,4,7,3
thanksgiving,the flower vendor,counts his roses,sballas,3,5,4
thanksgiving,the two of us,and a salmon,sballas,3,"4,5",4
scent of the river,in some of the laundry,indian summer,sballas,5,6,5
autumn drizzle,a grove of maple trees,lights the way home,sballas,4,6,4
morning glories,what is left,of the rain,sballas,4,3,3
again and again,to the tip of the rod,red dragonfly,sballas,5,6,4
black clouds part,a moon so full,i could howl,sballas,3,4,3
women's refuge,new light finds the blue,in painted glass,sballas,4,5,4
fall migration,the park duck waddles,back to the pond,sballas,4,5,4
stillness,after the storm,furled hibiscus,sballas,2,4,4
autumn hike,slowly we descend the mountain,into evening,sballas,3,8,4
graffiti,sharper,by moonlight,sballas,3,2,3
shiny red apples,the painter introduces,a caterpillar,sballas,5,7,5
summer ending,the wind and my songs,going their several ways,sballas,4,5,"6,7"
temple procession,so many gods,under one moon,sballas,5,4,4
sidewalk tilted,by the maple's roots,faint city stars,sballas,4,5,4
cool morning,slide of a coat hanger,across the rail,sballas,3,6,4
noon sun,cane cutters,sing of tomorrow,sballas,2,3,5
"if onlys,",what ifs,twilight,sballas,3,2,2
autumn night,the moon at the window,of the space museum,sballas,3,6,6
hangover,a cat eats grass,along the driveway,sballas,3,4,5
morning sunshine . . .,from a broken-down house,a burst of laughter,sballas,4,5,5
wind in the pines,never have i dreamed,of sleeping alone,sballas,4,5,5
out of hospital,the summer grasses,up to my chin,sballas,5,5,4
rose garden,i?ve forgotten which one,is called peace,sballas,3,6,3
summer night,a baby changed,on the hood of a chevy,sballas,3,4,7
no moon,on my knees i promise her,a glowworm,sballas,2,7,3
sleeping alone,i begin to learn,the cricket's song,sballas,4,5,4
their hands lightly touch,at the nursing home picnic,a raindrop or two,sballas,5,7,5
another wish,puffballs ripe,for the wind,sballas,4,3,3
laughter,in a foreign tongue,summer stars,sballas,2,5,3
shooting star,conversation halts,around the campfire,sballas,3,5,6
day at the zoo,the elephant's shadow,in a small place,sballas,4,6,4
sunshine on the canal,an old nun stops,to empty her shoes,sballas,6,4,5
outdoor caf?,the dog takes interest,in my interest,sballas,3,"5,6","4,5"
cool dusk,the tide finds,the sandcastle,sballas,2,3,4
early summer,the children's list,of what they?ll bring,sballas,4,4,4
dry season,rock paintings,by a vanished people,sballas,3,3,6
august afternoon,behind the poetry books,a dry apple core,sballas,5,7,5
new paperback,the sun sets,without me,sballas,4,3,3
bright stars,campfire coffee,full of grounds,sballas,2,5,3
two willows,each its own way,with the wind,sballas,3,4,3
brilliant sunlight,blue lobelia,through a clearwing's blur,sballas,4,4,6
distant thunder,a bumble bee hums,in the morning glory,sballas,4,5,6
tax day,a battery-powered breeze,stirs the desk chimes,sballas,2,5,4
the muddy river,a few egrets,mark its edge,sballas,5,4,3
spring breeze,i teach my granddaughter,hopscotch,sballas,"2,3",6,2
lilacs overgrown,with honeysuckle,the dooryard loses its way,sballas,5,5,7
after the storm,the blue,blue lobelia,sballas,4,2,4
sealing dad's niche . . .,one flowered umbrella,among the black ones,sballas,4,6,5
lightning,in a chestnut shell,the evening rain,sballas,2,5,4
snow melting,the field overflows,with robins,sballas,3,5,3
snowmelt,down the arroyo,her laughter,sballas,2,5,3
easter sunrise;,gun towers overshadow,the prison graveyard,sballas,4,7,5
memorial day,a flag-waving lad seeking,his father's white cross,sballas,5,5,5
foggy dawn,light threads through,the mockingbird's call,sballas,3,3,5
misty morning,for as far as i can hear,tree frogs,sballas,4,7,2
cold wind,our conversation fills,with plum blossom,sballas,2,"6,7",4
weeping cherry,my husband is somewhere,in snow country,sballas,4,6,4
end of daylight savings,the orange pills,cut in half,sballas,6,4,3
spring grass,i tell the calf,i?m a vegetarian,sballas,"2,3",4,7
the final push,of a laboring bison,slow-rising sun,sballas,4,7,2
dusting of snow,all the lights on,in the daycare,sballas,4,4,4
a leafless tree,suddenly my father,comes to mind,sballas,4,6,3
snowlit night,the bedroom window,whistles a tune,sballas,3,5,4
sleepless night,snow to rain,by the sound of it,sballas,3,3,5
winter evening,the newborn calf,eyes everybody,sballas,4,4,5
first snow,the smile,of a stranger,sballas,2,2,4
locust pods,in a raw wind,thinking it over,sballas,3,4,5
crash of winter waves,cries of the golden finch,shut in its cage,sballas,5,6,4
waiting for the heron,to turn my way,winter rain,sballas,6,4,3
so suddenly winter,baby teeth at the bottom,of the button jar,sballas,6,7,5
mountain moonrise,the sound i didn?t know,i had in me,sballas,4,5,4
christmas far from home,the odor of hay and manure,from an open barn,sballas,5,8,5
handshake,our sleeves touched,by the autumn wind,sballas,2,"3,4",5
drifting hawk,soccer players surge,down the field,sballas,3,5,3
my solitary life,a path worn around,the lotus pond,sballas,6,5,4
night winds,rake the pond leaves,wobbly moon,sballas,2,4,4
so suddenly winter,the colors,in her pill box,sballas,6,3,4
a stiffness in the joints,shrunken tomatoes,piled in the turnrow,sballas,6,5,5
rain so heavy,it calms the water,autumn evening,sballas,4,5,4
cold drizzle . . .,one of the sparrows,sits apart,sballas,3,5,3
frosted windows,my weight,still on the gym scale,sballas,4,2,5
pond ice,the fixed eyes,of the decoy,sballas,2,3,4
deep in the forest,deep in the night,cuckoo,sballas,5,4,2
vs of geese,i look where everyone else,is looking,sballas,4,7,3
halloween snow,the yeti's,tiny footprints,sballas,4,3,4
indian summer,we ride around town,just to be riding,sballas,5,5,5
that butterfly,i thought was a dead leaf,indian summer,sballas,4,6,5
my eye . . . my mind,led into the woods,by the red sumac,sballas,4,5,5
half moon,the white cat vanishes,into shadow,sballas,2,6,4
pink cosmos,my divorced friend,learns to salsa,sballas,3,4,4
full moon . . .,shadows ripple through,the field of catnip,sballas,2,5,5
a wild rose,inside the caterpillars? tent,ocean sunrise,sballas,3,8,4
giving sound,to the submerged stone wall,my new kayak,sballas,3,6,4
faultline,wild eyes of the horses,as we cross,sballas,2,6,3
talk of peace . . .,a fly in the sugar bowl,missing one leg,sballas,3,7,4
whispers,on a sultry night,salsa music,sballas,2,5,4
